distribution,branch,q,density,acceptance,effective_density
accepted_beta_recoil,case_I_forward,0.5275,0.48222914080359625,0.03464198515054222,0.03761182947927899
accepted_beta_recoil,case_I_forward,0.53,0.4823449392333749,0.03524533065371954,0.0382760886548204
accepted_beta_recoil,case_I_forward,0.5325,0.4824603779399171,0.03585759067641384,0.03895031680119449
accepted_beta_recoil,case_I_forward,0.535,0.4825754608178451,0.03647886518153337,0.03963462831214554
accepted_beta_recoil,case_I_forward,0.5375,0.48269019171099264,0.03710925465390486,0.04032913822644636
accepted_beta_recoil,case_I_forward,0.54,0.4828045744133589,0.03774886009129898,0.04103396221852867
accepted_beta_recoil,case_I_forward,0.5425,0.48291861267004227,0.03839778299518467,0.04174921658880678
accepted_beta_recoil,case_I_forward,0.545,0.4830323101781518,0.03905612536121179,0.042475018253693646
accepted_beta_recoil,case_I_forward,0.5475,0.4831456705876981,0.03972398966941862,0.043211484735305256
accepted_beta_recoil,case_I_forward,0.55,0.48325869750246553,0.04040147887416324,0.04395873415085199
accepted_beta_recoil,case_I_forward,0.5525,0.48337139448086347,0.041088696393775555,0.044716885201712936
accepted_beta_recoil,case_I_forward,0.555,0.48348376503675966,0.04178574609992927,0.04548605716219225
accepted_beta_recoil,case_I_forward,0.5575,0.48359581264029483,0.04249273230673078,0.046266369867953766
accepted_beta_recoil,case_I_forward,0.56,0.48370754071867905,0.043209759759523736,0.047057943704132243
accepted_beta_recoil,case_I_forward,0.5625,0.4838189526569715,0.04393693362340742,0.04786089959311884
accepted_beta_recoil,case_I_forward,0.5650000000000001,0.4839300517988425,0.044674359471467036,0.048675358982018434
accepted_beta_recoil,case_I_forward,0.5675,0.4840408414473195,0.045422143272713884,0.04950144382977615
accepted_beta_recoil,case_I_forward,0.5700000000000001,0.4841513248655168,0.04618039137973475,0.05033927659397216
accepted_beta_recoil,case_I_forward,0.5725,0.48426150527734946,0.046949210516047786,0.05118898021728123
accepted_beta_recoil,case_I_forward,0.5750000000000001,0.48437138586823253,0.047728707763164194,0.05205067811359617
accepted_beta_recoil,case_I_forward,0.5775,0.4844809697857644,0.048518990547354,0.052924494153812666
accepted_beta_recoil,case_I_forward,0.58,0.48459026014039697,0.049320166626114645,0.05381055265127404
accepted_beta_recoil,case_I_forward,0.5825,0.4846992600060908,0.050132344074340744,0.054708978346873646
accepted_beta_recoil,case_I_forward,0.585,0.4848079724209569,0.05095563127019423,0.0556198963938136
accepted_beta_recoil,case_I_forward,0.5875,0.48491640038788475,0.05179013688067348,0.05654343234201818
accepted_beta_recoil,case_I_forward,0.59,0.4850245468751579,0.052635969846880584,0.057479712122200446
accepted_beta_recoil,case_I_forward,0.5925,0.48513241481705643,0.05349323936898553,0.05842886202958043
accepted_beta_recoil,case_I_forward,0.595,0.48524000711444726,0.05436205489088619,0.05939100870725348
accepted_beta_recoil,case_I_forward,0.5975,0.48534732663536184,0.055242526084564036,0.06036627912920789
accepted_beta_recoil,case_I_forward,0.6,0.485454376215563,0.056134762834133725,0.061354800582990046
accepted_beta_recoil,case_I_forward,0.6025,0.4855611586590992,0.05703887521958702,0.06235670065201672
accepted_beta_recoil,case_I_forward,0.605,0.4856676767388491,0.057954973500229504,0.06337210719753272
accepted_beta_recoil,case_I_forward,0.6075,0.4857739331970533,0.05888316809781038,0.06440114834021378
accepted_beta_recoil,case_I_forward,0.61,0.4858799307458372,0.05982356957934403,0.06544395244141296
accepted_beta_recoil,case_I_forward,0.6125,0.4859856720677219,0.060776288639624185,0.066500648084051
