sample_id,linear_rmse,published_bound_rmse,scaled_loss_rmse,linear_beats_bound,linear_beats_scaled_loss,linear_intercept,linear_slope,loss_momentum_pearson_r,all_points_above_bound,monotone,best_model
50,0.007675160093097192,0.06860821218212595,0.02354355141971311,True,True,0.04218615945675425,0.6859212408976841,0.9993326071799213,True,True,linear_bandwidth
51,0.005498304215308673,0.07017321383206666,0.01989791673718321,True,True,0.036333473551668764,0.6997159051623068,0.9996652810529527,True,True,linear_bandwidth
52,0.006794129443051138,0.06987691946193636,0.01748106650306574,True,True,0.03086614219943672,0.7079829573709276,0.9994960998747768,True,True,linear_bandwidth
53,0.006712767574734759,0.06914356281118582,0.024297347072883314,True,True,0.04354338904927938,0.6847486874133901,0.9995060707787349,True,True,linear_bandwidth
54,0.006038048765069607,0.07324299856887509,0.022821670914223595,True,True,0.04156508511936455,0.6960961159800048,0.9995976363731895,True,True,linear_bandwidth
55,0.0060488888299131145,0.06887981857882448,0.021628966304005248,True,True,0.03936521175061402,0.692215936132531,0.999584906531979,True,True,linear_bandwidth
56,0.007090435763944327,0.07079183712024296,0.0313677228691972,True,True,0.0571314632947433,0.6628271316328644,0.9994050804408616,True,True,linear_bandwidth
57,0.007561123656007275,0.07116590370387316,0.024500175868355862,True,True,0.043572039283002,0.6886784276248813,0.999366125744373,True,True,linear_bandwidth
58,0.007071482350943059,0.07200158672613821,0.028221606748348338,True,True,0.05148271564547459,0.6753878625822192,0.9994280420059306,True,True,linear_bandwidth
59,0.004931299098419441,0.07078939005115392,0.025487379711126874,True,True,0.04716954587639118,0.6816459756420901,0.9997218445698676,True,True,linear_bandwidth
60,0.004647449172351242,0.06608379030124467,0.02115574416474739,True,True,0.039391703764236376,0.6866873633211177,0.9997523383594014,True,True,linear_bandwidth
61,0.005116436291458366,0.07430786652063547,0.02652977434861895,True,True,0.04914115345185478,0.6843013671690544,0.999705640019012,True,True,linear_bandwidth
62,0.003729386466308931,0.07078165185152548,0.02098310494519587,True,True,0.039183182039851897,0.6960086170686518,0.9998450624621704,True,True,linear_bandwidth
63,0.005634292505443371,0.06526349256781257,0.023493039209663127,True,True,0.04380594322271039,0.6769573431124777,0.9996233671925293,True,True,linear_bandwidth
64,0.0075052185996982166,0.06797716617701137,0.01950670461225146,True,True,0.033996393856787877,0.6995607363831726,0.9993830905686512,True,True,linear_bandwidth
65,0.007797648318719051,0.06608258283731586,0.02102004819823389,True,True,0.03708031165875023,0.6902805702045473,0.9993163384292796,True,True,linear_bandwidth
66,0.010035828257732266,0.06793355173936903,0.02343612171871319,True,True,0.04009701984906458,0.6879081458229668,0.9988655646214447,True,True,linear_bandwidth
67,0.007058408666499836,0.07041631203593257,0.021685314249884208,True,True,0.03878245497485964,0.6957522918226151,0.9994460599904872,True,True,linear_bandwidth
