analysis_scope,distribution,branch,q,density,acceptance,effective_density
all_phase_points,raw_beta_recoil_complex,raw,0.5475,0.5349761240282791,1.0,0.5349761240282791
all_phase_points,raw_beta_recoil_complex,raw,0.55,0.5358267948215975,1.0,0.5358267948215975
all_phase_points,raw_beta_recoil_complex,raw,0.5525,0.5366726359059629,1.0,0.5366726359059629
all_phase_points,raw_beta_recoil_complex,raw,0.555,0.5375136680838412,1.0,0.5375136680838412
all_phase_points,raw_beta_recoil_complex,raw,0.5575,0.5383499118926673,1.0,0.5383499118926673
all_phase_points,raw_beta_recoil_complex,raw,0.56,0.5391813876087135,1.0,0.5391813876087135
all_phase_points,raw_beta_recoil_complex,raw,0.5625,0.5400081152508752,1.0,0.5400081152508752
all_phase_points,raw_beta_recoil_complex,raw,0.5650000000000001,0.5408301145843843,1.0,0.5408301145843843
all_phase_points,raw_beta_recoil_complex,raw,0.5675,0.5416474051244432,1.0,0.5416474051244432
all_phase_points,raw_beta_recoil_complex,raw,0.5700000000000001,0.5424600061397891,1.0,0.5424600061397891
all_phase_points,raw_beta_recoil_complex,raw,0.5725,0.5432679366561852,1.0,0.5432679366561852
all_phase_points,raw_beta_recoil_complex,raw,0.5750000000000001,0.5440712154598426,1.0,0.5440712154598426
all_phase_points,raw_beta_recoil_complex,raw,0.5775,0.5448698611007734,1.0,0.5448698611007734
all_phase_points,raw_beta_recoil_complex,raw,0.58,0.5456638918960786,1.0,0.5456638918960786
all_phase_points,raw_beta_recoil_complex,raw,0.5825,0.5464533259331705,1.0,0.5464533259331705
all_phase_points,raw_beta_recoil_complex,raw,0.585,0.5472381810729309,1.0,0.5472381810729309
all_phase_points,raw_beta_recoil_complex,raw,0.5875,0.5480184749528084,1.0,0.5480184749528084
all_phase_points,raw_beta_recoil_complex,raw,0.59,0.5487942249898539,1.0,0.5487942249898539
all_phase_points,raw_beta_recoil_complex,raw,0.5925,0.5495654483836991,1.0,0.5495654483836991
all_phase_points,raw_beta_recoil_complex,raw,0.595,0.5503321621194744,1.0,0.5503321621194744
all_phase_points,raw_beta_recoil_complex,raw,0.5975,0.5510943829706724,1.0,0.5510943829706724
all_phase_points,raw_beta_recoil_complex,raw,0.6,0.5518521275019542,1.0,0.5518521275019542
all_phase_points,raw_beta_recoil_complex,raw,0.6025,0.5526054120719052,1.0,0.5526054120719052
all_phase_points,raw_beta_recoil_complex,raw,0.605,0.5533542528357333,1.0,0.5533542528357333
all_phase_points,raw_beta_recoil_complex,raw,0.6075,0.5540986657479188,1.0,0.5540986657479188
all_phase_points,raw_beta_recoil_complex,raw,0.61,0.5548386665648134,1.0,0.5548386665648134
all_phase_points,raw_beta_recoil_complex,raw,0.6125,0.5555742708471888,1.0,0.5555742708471888
all_phase_points,raw_beta_recoil_complex,raw,0.615,0.5563054939627374,1.0,0.5563054939627374
all_phase_points,raw_beta_recoil_complex,raw,0.6175,0.5570323510885263,1.0,0.5570323510885263
all_phase_points,raw_beta_recoil_complex,raw,0.62,0.5577548572134039,1.0,0.5577548572134039
all_phase_points,raw_beta_recoil_complex,raw,0.6225,0.5584730271403631,1.0,0.5584730271403631
all_phase_points,raw_beta_recoil_complex,raw,0.625,0.5591868754888579,1.0,0.5591868754888579
all_phase_points,raw_beta_recoil_complex,raw,0.6275000000000001,0.5598964166970789,1.0,0.5598964166970789
all_phase_points,raw_beta_recoil_complex,raw,0.63,0.5606016650241847,1.0,0.5606016650241847
all_phase_points,raw_beta_recoil_complex,raw,0.6325000000000001,0.5613026345524935,1.0,0.5613026345524935
all_phase_points,raw_beta_recoil_complex,raw,0.635,0.5619993391896316,1.0,0.5619993391896316
all_phase_points,raw_beta_recoil_complex,raw,0.6375000000000001,0.5626917926706454,1.0,0.5626917926706454
all_phase_points,raw_beta_recoil_complex,raw,0.64,0.5633800085600713,1.0,0.5633800085600713
all_phase_points,raw_beta_recoil_complex,raw,0.6425,0.5640640002539697,1.0,0.5640640002539697
all_phase_points,raw_beta_recoil_complex,raw,0.645,0.5647437809819205,1.0,0.5647437809819205
all_phase_points,raw_beta_recoil_complex,raw,0.6475,0.5654193638089826,1.0,0.5654193638089826
all_phase_points,raw_beta_recoil_complex,raw,0.65,0.5660907616376171,1.0,0.5660907616376171
all_phase_points,raw_beta_recoil_complex,raw,0.6525,0.5667579872095757,1.0,0.5667579872095757
all_phase_points,raw_beta_recoil_complex,raw,0.655,0.567421053107755,1.0,0.567421053107755
all_phase_points,raw_beta_recoil_complex,raw,0.6575,0.5680799717580164,1.0,0.5680799717580164
all_phase_points,raw_beta_recoil_complex,raw,0.66,0.5687347554309735,1.0,0.5687347554309735
all_phase_points,raw_beta_recoil_complex,raw,0.6625,0.5693854162437474,1.0,0.5693854162437474
all_phase_points,raw_beta_recoil_complex,raw,0.665,0.5700319661616894,1.0,0.5700319661616894
all_phase_points,raw_beta_recoil_complex,raw,0.6675,0.5706744170000733,1.0,0.5706744170000733
all_phase_points,raw_beta_recoil_complex,raw,0.67,0.5713127804257571,1.0,0.5713127804257571
all_phase_points,raw_beta_recoil_complex,raw,0.6725,0.5719470679588151,1.0,0.5719470679588151
all_phase_points,raw_beta_recoil_complex,raw,0.675,0.5725772909741403,1.0,0.5725772909741403
all_phase_points,raw_beta_recoil_complex,raw,0.6775,0.5732034607030178,1.0,0.5732034607030178
all_phase_points,raw_beta_recoil_complex,raw,0.68,0.5738255882346709,1.0,0.5738255882346709
all_phase_points,raw_beta_recoil_complex,raw,0.6825,0.5744436845177787,1.0,0.5744436845177787
all_phase_points,raw_beta_recoil_complex,raw,0.685,0.5750577603619678,1.0,0.5750577603619678
all_phase_points,raw_beta_recoil_complex,raw,0.6875,0.5756678264392758,1.0,0.5756678264392758
